Load_data,,,,,,,,,,,,,,,,
Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,,
,,,,,,,,418,13006,20286,12110,18219,27903,11817,,
,,,,,,,,419,13009,20289,12033,17838,28053,11816,,
,,,,,,,,420,12900,20108,12028,17624,27862,11898,,
,,,,,,,,421,12772,19906,12116,17425,27817,11792,,
,,,,,,,,422,12676,19752,12088,17233,27409,12069,,
,,,,,,,,423,12350,19241,12249,17057,27434,12320,,
,,,,,,,,424,11008,17138,12613,16527,28314,12837,,
,,,,,,,,425,10785,16795,13247,17934,29917,13646,,
,,,,,,,,426,12443,19394,13600,19607,31684,13090,,
,,,,,,,,427,12475,19442,12828,18703,29833,11984,,
,,,,,,,,428,11445,17833,11998,17535,27529,11431,,
,,,,,,,,429,10739,16737,11297,16299,26227,10699,,
,,,,,,,,430,8386,13050,10415,14922,24624,9859,,
,,,,,,,,431,7482,11641,9754,14349,22739,9739,,
,,,,,,,,432,8647,13475,9520,15260,21322,9492,,
