Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11
,,,,,,,,220,12003,1237,936,1854,212,1146,2039,5902,1837,16660,66049
,,,,,,,,221,11808,1241,939,1862,212,1150,2045,5921,1841,16777,66742
,,,,,,,,222,12138,1303,986,1954,223,1207,2147,6251,1945,17942,70757
,,,,,,,,223,13328,1438,1089,2157,246,1333,2375,7033,2204,20348,78282
,,,,,,,,224,15311,1553,1176,2330,266,1438,2567,7680,2415,21863,82863
,,,,,,,,225,16272,1653,1252,2480,283,1531,2732,8170,2569,22775,86666
,,,,,,,,226,16580,1727,1308,2591,296,1600,2856,8546,2689,23519,90549
,,,,,,,,227,17039,1790,1355,2684,307,1656,2960,8910,2810,24439,94672
,,,,,,,,228,16329,1830,1386,2745,314,1694,3028,9156,2892,24537,97427
,,,,,,,,229,16063,1849,1400,2773,317,1712,3060,9265,2929,24149,98660
,,,,,,,,230,15350,1861,1409,2792,320,1722,3081,9331,2951,25058,101303
,,,,,,,,231,15790,1848,1399,2772,317,1711,3059,9263,2928,25296,103405
,,,,,,,,232,16272,1872,1417,2807,321,1732,3100,9458,2997,25170,105776
,,,,,,,,233,16904,1868,1415,2803,321,1729,3096,9511,3020,26064,107735
,,,,,,,,234,17251,1850,1401,2776,317,1712,3068,9499,3020,26717,107283
,,,,,,,,235,16690,1759,1331,2637,301,1628,2913,9013,2858,24865,101331
,,,,,,,,236,16129,1730,1310,2595,297,1601,2864,8840,2797,23962,95119
,,,,,,,,237,17185,1743,1320,2614,299,1613,2885,8892,2809,24092,93457
,,,,,,,,238,17855,1683,1274,2524,289,1558,2784,8512,2683,23797,89336
,,,,,,,,239,16959,1580,1196,2369,271,1463,2612,7876,2477,21402,82340
,,,,,,,,240,15338,1480,1121,2220,254,1371,2446,7308,2295,20273,76362
,,,,,,,,241,12947,1180,894,1771,202,1095,1946,5639,1751,16710,63997
,,,,,,,,242,11883,1127,853,1692,193,1046,1858,5333,1653,15796,60637
,,,,,,,,243,11261,1090,824,1634,186,1011,1795,5120,1586,15195,58746
,,,,,,,,244,10933,1073,813,1609,183,995,1768,5045,1563,15022,58091
,,,,,,,,245,10751,1075,814,1613,184,997,1771,5067,1570,15185,58668
,,,,,,,,246,11049,1114,844,1671,191,1033,1836,5288,1641,15999,61572
,,,,,,,,247,12094,1232,933,1848,211,1142,2035,5957,1862,17735,66036
,,,,,,,,248,14299,1395,1057,2094,240,1293,2305,6788,2126,19629,71617
,,,,,,,,249,15315,1483,1123,2224,254,1374,2448,7202,2252,20814,76181
,,,,,,,,250,15620,1549,1173,2324,265,1436,2556,7497,2340,21555,79984
,,,,,,,,251,15899,1594,1207,2391,273,1477,2631,7732,2416,22448,83571
,,,,,,,,252,15188,1535,1162,2302,263,1423,2530,7377,2293,19688,83555
,,,,,,,,253,15096,1551,1174,2326,265,1438,2559,7483,2331,19662,84560
,,,,,,,,254,14032,1604,1214,2406,275,1487,2648,7804,2438,20937,86438
,,,,,,,,255,13859,1588,1203,2382,272,1472,2621,7714,2409,21444,88207
,,,,,,,,256,14299,1604,1214,2405,275,1486,2649,7865,2464,21865,91077
,,,,,,,,257,14592,1621,1228,2433,278,1502,2681,8038,2526,22317,92849
,,,,,,,,258,15088,1609,1219,2414,276,1490,2661,8069,2542,22309,94406
,,,,,,,,259,14271,1503,1138,2254,258,1392,2483,7511,2358,20229,90561
,,,,,,,,260,13154,1411,1068,2117,242,1308,2328,6958,2171,19159,83672
,,,,,,,,261,12978,1385,1048,2077,238,1284,2283,6770,2104,18808,81294
,,,,,,,,262,13364,1407,1065,2111,241,1306,2319,6845,2122,19179,80494
,,,,,,,,263,13854,1334,1010,2000,228,1237,2197,6431,1992,18231,76098
